Title,Author,Average Ratings,Total Ratings
My Sister's Keeper,Jodi Picoult, 4.08 avg rating,"1,038,435 ratings"
Little Women,Louisa May Alcott, 4.08 avg rating,"1,629,108 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon, 4.23 avg rating,"793,467 ratings"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson, 4.14 avg rating,"2,532,079 ratings"
Matilda,Roald Dahl, 4.32 avg rating,"611,575 ratings"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling, 4.62 avg rating,"2,711,777 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien, 4.36 avg rating,"2,294,078 ratings"
Rebecca,Daphne du Maurier, 4.23 avg rating,"428,347 ratings"
The Color Purple,Alice Walker, 4.21 avg rating,"500,918 ratings"
A Tree Grows in Brooklyn,Betty  Smith, 4.27 avg rating,"379,272 ratings"
The Road,Cormac McCarthy, 3.97 avg rating,"694,798 ratings"
1984,George Orwell, 4.18 avg rating,"2,998,711 ratings"
The Brothers Karamazov,Fyodor Dostoyevsky, 4.32 avg rating,"233,951 ratings"
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt, 4.11 avg rating,"525,958 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead, 4.13 avg rating,"534,099 ratings"
The Poisonwood Bible,Barbara Kingsolver, 4.06 avg rating,"647,717 ratings"
Siddhartha,Hermann Hesse, 4.03 avg rating,"560,243 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman, 3.98 avg rating,"1,249,485 ratings"
Don Quixote,Miguel de Cervantes Saavedra, 3.87 avg rating,"201,441 ratings"
Atlas Shrugged,Ayn Rand, 3.69 avg rating,"347,096 ratings"
The Old Man and the Sea,Ernest Hemingway, 3.78 avg rating,"800,387 ratings"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling, 4.57 avg rating,"2,684,595 ratings"
"The Notebook (The Notebook, #1)",Nicholas Sparks, 4.10 avg rating,"1,295,129 ratings"
A Clockwork Orange,Anthony Burgess, 3.99 avg rating,"580,172 ratings"
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne, 4.35 avg rating,"259,659 ratings"
The Complete Stories and Poems,Edgar Allan Poe, 4.39 avg rating,"211,814 ratings"
A Prayer for Owen Meany,John Irving, 4.23 avg rating,"282,074 ratings"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,really liked it 4.00 avg rating,"471,473 ratings"
"Moby-Dick or, the Whale",Herman Melville, 3.50 avg rating,"469,227 ratings"
The Red Tent,Anita Diamant, 4.18 avg rating,"509,802 ratings"
The Secret Life of Bees,Sue Monk Kidd, 4.05 avg rating,"1,095,435 ratings"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling, 4.56 avg rating,"2,493,478 ratings"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare, 4.33 avg rating,"637,838 ratings"
And Then There Were None,Agatha Christie, 4.26 avg rating,"768,423 ratings"
Middlesex,Jeffrey Eugenides, 4.01 avg rating,"573,562 ratings"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling, 4.57 avg rating,"2,350,169 ratings"
The Stranger,Albert Camus, 3.98 avg rating,"673,989 ratings"
The Master and Margarita,Mikhail Bulgakov, 4.30 avg rating,"231,132 ratings"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss, 4.54 avg rating,"684,330 ratings"
The Shining,Stephen King, 4.23 avg rating,"1,084,324 ratings"
The Adventures of Tom Sawyer,Mark Twain, 3.91 avg rating,"736,933 ratings"
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini, 3.90 avg rating,"1,396,958 ratings"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl, 4.14 avg rating,"638,688 ratings"
On the Road,Jack Kerouac, 3.62 avg rating,"336,131 ratings"
Flowers For Algernon,Daniel Keyes, 4.13 avg rating,"462,420 ratings"
The Metamorphosis,Franz Kafka, 3.82 avg rating,"607,642 ratings"
Looking for Alaska,John Green, 4.03 avg rating,"1,078,320 ratings"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón, 4.27 avg rating,"438,874 ratings"
The Curious Incident of the Dog in the Night-Time,Mark Haddon, 3.88 avg rating,"1,158,367 ratings"
The Very Hungry Caterpillar,Eric Carle, 4.30 avg rating,"382,681 ratings"
Tuesdays with Morrie,Mitch Albom, 4.11 avg rating,"756,915 ratings"
The Unbearable Lightness of Being,Milan Kundera, 4.10 avg rating,"327,718 ratings"
The Name of the Rose,Umberto Eco, 4.12 avg rating,"289,154 ratings"
Where the Red Fern Grows,Wilson Rawls, 4.08 avg rating,"332,933 ratings"
The Scarlet Letter,Nathaniel Hawthorne, 3.41 avg rating,"688,731 ratings"
The Godfather,Mario Puzo, 4.37 avg rating,"322,095 ratings"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling, 4.42 avg rating,"2,619,738 ratings"
In Cold Blood,Truman Capote, 4.07 avg rating,"507,593 ratings"
Fight Club,Chuck Palahniuk, 4.19 avg rating,"482,682 ratings"
The Five People You Meet in Heaven,Mitch Albom, 3.94 avg rating,"565,813 ratings"
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick, 3.97 avg rating,"554,688 ratings"
Lonesome Dove,Larry McMurtry, 4.49 avg rating,"142,700 ratings"
The Cat in the Hat,Dr. Seuss, 4.17 avg rating,"408,587 ratings"
"American Gods (American Gods, #1)",Neil Gaiman, 4.11 avg rating,"734,208 ratings"
"Holes (Holes, #1)",Louis Sachar, 3.97 avg rating,"940,902 ratings"
