Title,Author,Average Ratings,Total Ratings
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris, 3.96 avg rating,"487,786 ratings"
Never Let Me Go,Kazuo Ishiguro, 3.82 avg rating,"449,402 ratings"
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan, 4.44 avg rating,"394,897 ratings"
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James, 3.85 avg rating,"724,959 ratings"
The Monster at the End of this Book,Jon Stone, 4.45 avg rating,"118,676 ratings"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe, 3.67 avg rating,"277,620 ratings"
Middlemarch,George Eliot, 3.97 avg rating,"132,510 ratings"
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding, 3.78 avg rating,"870,488 ratings"
Franny and Zooey,J.D. Salinger, 3.98 avg rating,"182,545 ratings"
Mrs. Dalloway,Virginia Woolf, 3.79 avg rating,"214,979 ratings"
"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis, 4.04 avg rating,"394,355 ratings"
"Ready Player One (Ready Player One, #1)",Ernest Cline, 4.26 avg rating,"821,858 ratings"
Stardust,Neil Gaiman, 4.09 avg rating,"345,749 ratings"
"The Power of One (The Power of One, #1)",Bryce Courtenay, 4.35 avg rating,"75,898 ratings"
"A Time to Kill (Jake Brigance, #1)",John Grisham, 4.07 avg rating,"690,404 ratings"
The Gunslinger,Stephen King, 3.95 avg rating,"498,052 ratings"
Number the Stars,Lois Lowry, 4.15 avg rating,"431,099 ratings"
A Short History of Nearly Everything,Bill Bryson, 4.21 avg rating,"283,663 ratings"
Do Androids Dream of Electric Sheep?,Philip K. Dick, 4.09 avg rating,"329,265 ratings"
Eleanor & Park,Rainbow Rowell, 4.07 avg rating,"827,208 ratings"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas, 4.65 avg rating,"292,300 ratings"
Black Beauty,Anna Sewell, 3.96 avg rating,"231,256 ratings"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins, 4.04 avg rating,"2,266,876 ratings"
A Portrait of the Artist as a Young Man,James Joyce, 3.62 avg rating,"125,411 ratings"
The Art of Racing in the Rain,Garth Stein, 4.21 avg rating,"443,773 ratings"
"Allegiant (Divergent, #3)",Veronica Roth, 3.63 avg rating,"801,155 ratings"
Gulliver's Travels,Jonathan Swift, 3.57 avg rating,"226,618 ratings"
Bel Canto,Ann Patchett, 3.93 avg rating,"234,737 ratings"
American Psycho,Bret Easton Ellis, 3.82 avg rating,"230,444 ratings"
"If I Stay (If I Stay, #1)",Gayle Forman, 3.95 avg rating,"694,758 ratings"
"Me Before You (Me Before You, #1)",Jojo Moyes, 4.26 avg rating,"1,096,885 ratings"
The Hound of the Baskervilles,Arthur Conan Doyle, 4.12 avg rating,"243,978 ratings"
"Legend (Legend, #1)",Marie Lu, 4.18 avg rating,"398,104 ratings"
Love You Forever,Robert Munsch, 4.36 avg rating,"196,442 ratings"
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan, 4.46 avg rating,"424,313 ratings"
V for Vendetta,Alan Moore, 4.25 avg rating,"255,419 ratings"
"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien, 4.50 avg rating,"547,589 ratings"
The Complete Novels,Jane Austen, 4.56 avg rating,"29,056 ratings"
Cold Mountain,Charles Frazier, 3.86 avg rating,"217,362 ratings"
The Witches,Roald Dahl, 4.18 avg rating,"299,131 ratings"
The Graveyard Book,Neil Gaiman, 4.14 avg rating,"422,665 ratings"
القرآن الكريم,Anonymous, 4.35 avg rating,"56,650 ratings"
White Fang,Jack London, 3.98 avg rating,"147,386 ratings"
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson, 4.65 avg rating,"279,274 ratings"
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James, 3.85 avg rating,"695,303 ratings"
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia, 3.76 avg rating,"526,895 ratings"
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini, 3.99 avg rating,"340,768 ratings"
Beowulf,Unknown, 3.45 avg rating,"229,435 ratings"
Steppenwolf,Hermann Hesse, 4.13 avg rating,"130,825 ratings"
Tuck Everlasting,Natalie Babbitt, 3.88 avg rating,"220,780 ratings"
Go Ask Alice,Beatrice Sparks, 3.76 avg rating,"230,339 ratings"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe, 4.17 avg rating,"218,403 ratings"
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward, 4.20 avg rating,"282,172 ratings"
A Separate Peace,John Knowles, 3.58 avg rating,"187,918 ratings"
"Wonder (Wonder, #1)",R.J. Palacio, 4.45 avg rating,"687,852 ratings"
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan, 4.18 avg rating,"373,426 ratings"
As I Lay Dying,William Faulkner, 3.72 avg rating,"134,016 ratings"
انتحار فاشل,أحمد جمال الدين رمضان, 4.49 avg rating,"2,081 ratings"
"The Final Empire (Mistborn, #1)",Brandon Sanderson, 4.45 avg rating,"376,948 ratings"
"The Complete Maus (Maus, #1-2)",Art Spiegelman, 4.56 avg rating,"129,373 ratings"
Mansfield Park,Jane Austen, 3.86 avg rating,"277,775 ratings"
The Amazing Adventures of Kavalier & Clay,Michael Chabon, 4.18 avg rating,"180,988 ratings"
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer, 4.11 avg rating,"371,679 ratings"
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini, 4.06 avg rating,"286,335 ratings"
"Stargirl (Stargirl, #1)",Jerry Spinelli, 3.76 avg rating,"287,818 ratings"
Tao Te Ching,Lao Tzu, 4.30 avg rating,"109,720 ratings"
Dear John,Nicholas Sparks, 4.04 avg rating,"529,917 ratings"
العصبي,أحمد جمال الدين رمضان, 4.50 avg rating,"1,770 ratings"
The Martian Chronicles,Ray Bradbury, 4.14 avg rating,"203,207 ratings"
Midnight's Children,Salman Rushdie, 3.98 avg rating,"102,149 ratings"
"Obsidian (Lux, #1)",Jennifer L. Armentrout, 4.20 avg rating,"216,891 ratings"
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick, 4.05 avg rating,"267,912 ratings"
The Firm,John Grisham, 4.02 avg rating,"551,213 ratings"
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig, 3.77 avg rating,"191,073 ratings"
The English Patient,Michael Ondaatje, 3.88 avg rating,"110,670 ratings"
'Salem's Lot,Stephen King, 4.02 avg rating,"321,209 ratings"
The Last Song,Nicholas Sparks, 4.15 avg rating,"498,782 ratings"
"My Ántonia (Great Plains Trilogy, #3)",Willa Cather, 3.79 avg rating,"117,626 ratings"
Cloud Atlas,David Mitchell, 4.01 avg rating,"208,515 ratings"
Robinson Crusoe,Daniel Defoe, 3.67 avg rating,"241,433 ratings"
Doctor Zhivago,Boris Pasternak, 4.03 avg rating,"78,121 ratings"
"Shatter Me (Shatter Me, #1)",Tahereh Mafi, 3.96 avg rating,"276,150 ratings"
The Martian,Andy Weir, 4.40 avg rating,"783,451 ratings"
Inferno,Dante Alighieri,really liked it 4.00 avg rating,"137,007 ratings"
East of Eden,John Steinbeck, 4.38 avg rating,"416,411 ratings"
Una Historia de Ayer,Sergio Cobo, 4.68 avg rating,784 ratings
Like Water for Chocolate,Laura Esquivel, 3.95 avg rating,"319,941 ratings"
The Hunchback of Notre-Dame,Victor Hugo,really liked it 4.00 avg rating,"165,191 ratings"
"The Amber Spyglass  (His Dark Materials, #3)",Philip Pullman, 4.09 avg rating,"285,883 ratings"
Breakfast at Tiffany's,Truman Capote, 3.89 avg rating,"207,118 ratings"
Breakfast of Champions,Kurt Vonnegut Jr., 4.07 avg rating,"218,599 ratings"
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon, 4.32 avg rating,"277,268 ratings"
Room,Emma Donoghue, 4.06 avg rating,"692,996 ratings"
The BFG,Roald Dahl, 4.23 avg rating,"354,900 ratings"
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling, 4.74 avg rating,"244,758 ratings"
The Origin of Species,Charles Darwin, 3.98 avg rating,"94,336 ratings"
"Evermore (The Immortals, #1)",Alyson Noel, 3.59 avg rating,"257,536 ratings"
A Fine Balance,Rohinton Mistry, 4.36 avg rating,"123,793 ratings"
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor, 4.02 avg rating,"297,903 ratings"
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare, 4.45 avg rating,"273,898 ratings"
"The Subtle Knife  (His Dark Materials, #2)",Philip Pullman, 4.13 avg rating,"352,636 ratings"
Death of a Salesman,Arthur  Miller, 3.52 avg rating,"179,034 ratings"
The Plague,Albert Camus,really liked it 4.00 avg rating,"158,517 ratings"
The Prince,Niccolò Machiavelli, 3.82 avg rating,"248,886 ratings"
A Streetcar Named Desire,Tennessee Williams, 3.98 avg rating,"257,515 ratings"
Midnight in the Garden of Good and Evil,John Berendt, 3.92 avg rating,"214,950 ratings"
Snow Flower and the Secret Fan,Lisa See, 4.07 avg rating,"334,706 ratings"
"Faust, First Part",Johann Wolfgang von Goethe, 3.93 avg rating,"57,088 ratings"
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins, 4.01 avg rating,"355,606 ratings"
Infinite Jest,David Foster Wallace, 4.29 avg rating,"72,182 ratings"
"The Angel Experiment (Maximum Ride, #1)",James Patterson, 4.08 avg rating,"202,272 ratings"
11/22/63,Stephen King, 4.31 avg rating,"404,709 ratings"
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson, 3.81 avg rating,"366,382 ratings"
The Remains of the Day,Kazuo Ishiguro, 4.12 avg rating,"191,908 ratings"
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin, 4.14 avg rating,"604,463 ratings"
"Matched (Matched, #1)",Ally Condie, 3.66 avg rating,"635,769 ratings"
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews, 3.82 avg rating,"153,640 ratings"
The Shipping News,Annie Proulx, 3.86 avg rating,"128,236 ratings"
The Scarlet Pimpernel,Emmuska Orczy, 4.07 avg rating,"119,940 ratings"
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs, 3.91 avg rating,"941,877 ratings"
Hamlet,William Shakespeare, 4.02 avg rating,"709,389 ratings"
The Chosen (Reuven Malther #1),Chaim Potok, 4.05 avg rating,"82,730 ratings"
"Hopeless (Hopeless, #1)",Colleen Hoover, 4.30 avg rating,"258,881 ratings"
"Six of Crows (Six of Crows, #1)",Leigh Bardugo, 4.46 avg rating,"272,026 ratings"
Jonathan Strange & Mr Norrell,Susanna Clarke, 3.82 avg rating,"189,474 ratings"
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand, 4.37 avg rating,"736,981 ratings"
High Fidelity,Nick Hornby, 3.94 avg rating,"170,386 ratings"
Houdini Heart,Ki Longfellow, 4.21 avg rating,"1,972 ratings"
The Tales of Beedle the Bard,J.K. Rowling, 4.07 avg rating,"392,865 ratings"
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy, 4.17 avg rating,"104,735 ratings"
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer, 3.85 avg rating,"478,204 ratings"
The Reader,Bernhard Schlink, 3.76 avg rating,"166,993 ratings"
Pippi Longstocking,Astrid Lindgren, 4.13 avg rating,"162,208 ratings"
The Virgin Suicides,Jeffrey Eugenides, 3.84 avg rating,"221,440 ratings"
Nineteen Minutes,Jodi Picoult, 4.13 avg rating,"296,070 ratings"
All the Light We Cannot See,Anthony Doerr, 4.33 avg rating,"969,024 ratings"
Shantaram,Gregory David Roberts, 4.27 avg rating,"158,018 ratings"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson, 3.99 avg rating,"498,868 ratings"
The Age of Innocence,Edith Wharton, 3.95 avg rating,"136,571 ratings"
"The Lost Symbol (Robert Langdon, #3)",Dan Brown, 3.71 avg rating,"505,876 ratings"
"Neuromancer (Sprawl, #1)",William Gibson, 3.90 avg rating,"254,845 ratings"
Waiting for Godot,Samuel Beckett, 3.83 avg rating,"154,146 ratings"
Redeeming Love,Francine Rivers, 4.50 avg rating,"205,747 ratings"
"Betrayed (House of Night, #2)",P.C. Cast, 3.93 avg rating,"236,150 ratings"
"The Host (The Host, #1)",Stephenie Meyer, 3.84 avg rating,"874,739 ratings"
Dubliners,James Joyce, 3.85 avg rating,"119,849 ratings"
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis, 4.09 avg rating,"383,932 ratings"
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan, 4.55 avg rating,"245,982 ratings"
Northanger Abbey,Jane Austen, 3.82 avg rating,"293,268 ratings"
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward, 4.45 avg rating,"158,481 ratings"
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells, 3.82 avg rating,"517,440 ratings"
Everything Is Illuminated,Jonathan Safran Foer, 3.90 avg rating,"162,464 ratings"
"Untamed (House of Night, #4)",P.C. Cast, 3.95 avg rating,"210,175 ratings"
The Waste Land,T.S. Eliot, 4.11 avg rating,"41,347 ratings"
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin, 4.33 avg rating,"540,737 ratings"
The Pearl,John Steinbeck, 3.47 avg rating,"183,425 ratings"
The Grapes of Wrath,John Steinbeck, 3.97 avg rating,"729,571 ratings"
To the Lighthouse,Virginia Woolf, 3.78 avg rating,"126,805 ratings"
"I, Robot (Robot, #0.1)",Isaac Asimov, 4.20 avg rating,"266,431 ratings"
The Jungle,Upton Sinclair, 3.74 avg rating,"127,139 ratings"
War and Peace,Leo Tolstoy, 4.12 avg rating,"254,853 ratings"
"The Twilight Collection (Twilight, #1-3)",Stephenie Meyer, 3.79 avg rating,"43,506 ratings"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou, 4.23 avg rating,"389,088 ratings"
Snow Falling on Cedars,David Guterson, 3.84 avg rating,"162,905 ratings"
"The One (The Selection, #3)",Kiera Cass, 4.20 avg rating,"353,566 ratings"
Carrie,Stephen King, 3.96 avg rating,"499,459 ratings"
Me Talk Pretty One Day,David Sedaris, 3.99 avg rating,"605,869 ratings"
"I, Claudius (Claudius, #1)",Robert Graves, 4.27 avg rating,"52,619 ratings"
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas, 4.44 avg rating,"311,964 ratings"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas, 4.24 avg rating,"419,576 ratings"
A Room with a View,E.M. Forster, 3.91 avg rating,"148,749 ratings"
"Voyager (Outlander, #3)",Diana Gabaldon, 4.39 avg rating,"246,605 ratings"
"Chosen (House of Night, #3)",P.C. Cast, 3.92 avg rating,"218,427 ratings"
The Elephant Tree,R.D. Ronald, 4.06 avg rating,"45,934 ratings"
The Republic,Plato, 3.94 avg rating,"162,155 ratings"
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis, 4.03 avg rating,"213,122 ratings"
Bleak House,Charles Dickens, 4.01 avg rating,"93,360 ratings"
The Exorcist,William Peter Blatty, 4.17 avg rating,"174,488 ratings"
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas, 4.49 avg rating,"256,218 ratings"
"The 5th Wave (The 5th Wave, #1)",Rick Yancey, 4.05 avg rating,"376,030 ratings"
Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse, 4.13 avg rating,"70,684 ratings"
"The Iron King (The Iron Fey, #1)",Julie Kagawa, 3.90 avg rating,"183,534 ratings"
"Torment (Fallen, #2)",Lauren Kate, 3.87 avg rating,"203,311 ratings"
