" 4.33 avg rating — 6,193,900 ratings"
" 4.50 avg rating — 2,415,016 ratings"
" 4.28 avg rating — 4,350,112 ratings"
" 4.26 avg rating — 2,887,904 ratings"
" 3.59 avg rating — 4,817,166 ratings"
" 4.37 avg rating — 1,767,971 ratings"
" 4.26 avg rating — 498,922 ratings"
" 3.94 avg rating — 2,632,720 ratings"
" 4.60 avg rating — 107,841 ratings"
" 4.30 avg rating — 1,054,609 ratings"
" 4.21 avg rating — 3,417,764 ratings"
" 4.22 avg rating — 1,380,787 ratings"
" 4.38 avg rating — 878,872 ratings"
" 3.86 avg rating — 1,300,933 ratings"
" 3.85 avg rating — 1,877,721 ratings"
" 4.12 avg rating — 1,681,326 ratings"
" 4.08 avg rating — 925,963 ratings"
" 4.07 avg rating — 444,749 ratings"
" 4.12 avg rating — 1,577,550 ratings"
" 4.17 avg rating — 649,650 ratings"
" 4.20 avg rating — 2,814,745 ratings"
" 3.99 avg rating — 1,610,375 ratings"
" 3.75 avg rating — 2,006,437 ratings"
" 3.68 avg rating — 2,199,782 ratings"
" 3.87 avg rating — 2,010,830 ratings"
" 4.22 avg rating — 600,817 ratings"
" 4.20 avg rating — 1,213,296 ratings"
" 3.92 avg rating — 3,655,494 ratings"
" 4.30 avg rating — 1,097,622 ratings"
" 4.10 avg rating — 1,569,458 ratings"
" 4.47 avg rating — 2,094,878 ratings"
" 4.26 avg rating — 698,880 ratings"
" 4.17 avg rating — 1,369,825 ratings"
" 3.97 avg rating — 1,541,431 ratings"
" 4.31 avg rating — 1,287,245 ratings"
" 3.87 avg rating — 1,891,249 ratings"
" 4.47 avg rating — 6,765,019 ratings"
"really liked it 4.00 avg rating — 903,001 ratings"
" 3.99 avg rating — 1,391,443 ratings"
" 4.08 avg rating — 727,521 ratings"
" 4.26 avg rating — 759,890 ratings"
" 3.81 avg rating — 2,659,822 ratings"
" 4.14 avg rating — 860,955 ratings"
" 4.37 avg rating — 1,112,035 ratings"
" 4.25 avg rating — 1,909,305 ratings"
"really liked it 4.00 avg rating — 1,028,986 ratings"
" 4.45 avg rating — 1,944,732 ratings"
" 3.82 avg rating — 1,132,182 ratings"
" 3.81 avg rating — 1,970,047 ratings"
" 4.22 avg rating — 791,546 ratings"
" 4.10 avg rating — 903,390 ratings"
" 4.30 avg rating — 592,667 ratings"
" 3.77 avg rating — 841,896 ratings"
" 3.91 avg rating — 1,303,114 ratings"
" 3.84 avg rating — 792,536 ratings"
" 4.09 avg rating — 1,347,774 ratings"
" 3.89 avg rating — 645,138 ratings"
" 4.08 avg rating — 1,098,086 ratings"
" 3.80 avg rating — 1,127,034 ratings"
" 4.30 avg rating — 2,354,119 ratings"
" 4.11 avg rating — 1,389,262 ratings"
" 4.13 avg rating — 1,719,403 ratings"
" 3.98 avg rating — 707,105 ratings"
" 4.23 avg rating — 712,274 ratings"
" 4.32 avg rating — 629,906 ratings"
" 4.34 avg rating — 594,732 ratings"
" 4.30 avg rating — 234,054 ratings"
" 4.06 avg rating — 422,508 ratings"
" 3.77 avg rating — 632,932 ratings"
" 4.20 avg rating — 614,707 ratings"
